#A3.3.5 工程別工期：新規開発 (Copyright 2022 IPA)
base_design,detail_design,develop,integration_test,system_test
0.3306122449,0.2204081633,0.2285714286,0.1306122449,0.08979591837
0.3333333333,0.08888888889,0.2888888889,0.2222222222,0.06666666667
0.3355704698,0.1342281879,0.1543624161,0.1879194631,0.1879194631
0.3359375,0.1171875,0.1953125,0.15625,0.1953125
0.3442622951,0.131147541,0.2131147541,0.08196721311,0.2295081967
0.3675675676,0.1459459459,0.2540540541,0.1513513514,0.08108108108
0.3695652174,0.1086956522,0.2826086957,0.2173913043,0.02173913043
0.3723723724,0.08708708709,0.1201201201,0.1501501502,0.2702702703
0.4205607477,0.1728971963,0.1822429907,0.1401869159,0.08411214953
0.496124031,0.04651162791,0.2248062016,0.1550387597,0.07751937984
0.5128205128,0.1282051282,0.1282051282,0.1153846154,0.1153846154
0.5423728814,0.03389830508,0.1694915254,0.1694915254,0.08474576271
